121 	 0.64 
122 	 0.96 
123 	 1.74 
124 	 1.32 
125 	 1.34 
126 	 1.14 
127 	 1.08 
128 	 1.04 
129 	 0.94 
130 	 0.94 
131 	 0.66 
132 	 0.78 
133 	 0.78 
134 	 0.75 
135 	 0.94 
136 	 1.16 
137 	 1.28 
138 	 1.97 
139 	 1.67 
140 	 2.36 
141 	 2.90 
142 	 3.18 
143 	 2.57 
144 	 2.33 
145 	 1.62 
146 	 1.39 
147 	 1.33 
148 	 1.47 
149 	 1.55 
150 	 1.70 
151 	 1.37 
152 	 0.88 
153 	 1.12 
154 	 1.18 
155 	 0.82 
156 	 1.23 
157 	 1.81 
158 	 1.25 
159 	 1.02 
160 	 1.48 
161 	 1.56 
162 	 0.92 
163 	 1.21 
164 	 1.25 
165 	 1.98 
166 	 1.43 
167 	 1.20 
168 	 1.23 
169 	 1.28 
170 	 1.67 
171 	 2.58 
172 	 2.32 
173 	 1.57 
174 	 1.66 
175 	 2.14 
176 	 2.52 
177 	 3.50 
178 	 3.43 
179 	 3.33 
180 	 3.66 
181 	 3.81 
182 	 3.54 
183 	 3.99 
184 	 4.15 
185 	 4.18 
186 	 3.50 
187 	 3.12 
188 	 2.72 
189 	 3.80 
190 	 3.67 
191 	 3.22 
192 	 3.12 
193 	 2.79 
194 	 2.89 
195 	 3.17 
196 	 3.36 
197 	 3.65 
198 	 3.52 
199 	 3.40 
200 	 3.15 
201 	 2.99 
202 	 3.28 
203 	 3.67 
204 	 3.92 
205 	 4.24 
206 	 4.48 
207 	 4.48 
208 	 3.60 
209 	 3.03 
210 	 2.52 
211 	 2.80 
212 	 2.33 
213 	 2.17 
214 	 2.09 
215 	 2.37 
216 	 2.80 
217 	 3.38 
218 	 3.37 
219 	 2.96 
220 	 1.82 
221 	 1.50 
222 	 1.58 
223 	 2.76 
230 	 3.51 
231 	 2.12 
232 	 2.46 
233 	 2.72 
234 	 3.44 
235 	 4.05 
236 	 3.56 
237 	 3.40 
238 	 3.10 
239 	 2.08 
240 	 1.91 
241 	 2.01 
242 	 1.84 
242 	 2.35
